,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,12487,CYIENT-BL,CYIENT,,-1.000000,1,,NSE,5.000000
1,60942,NIFTY24NOV2215150CE,NIFTY,24NOV2022,1515000.000000,50,OPTIDX,NFO,5.000000
2,42984,NIFTY08DEC2219850PE,NIFTY,08DEC2022,1985000.000000,50,OPTIDX,NFO,5.000000
3,48497,NIFTY10NOV2219650PE,NIFTY,10NOV2022,1965000.000000,50,OPTIDX,NFO,5.000000
4,55115,NIFTY27JUN2418000CE,NIFTY,27JUN2024,1800000.000000,50,OPTIDX,NFO,5.000000
5,42707,NIFTY29DEC2213100PE,NIFTY,29DEC2022,1310000.000000,50,OPTIDX,NFO,5.000000
6,61343,NIFTY24NOV2217650CE,NIFTY,24NOV2022,1765000.000000,50,OPTIDX,NFO,5.000000
7,38081,NIFTY03NOV2218400CE,NIFTY,03NOV2022,1840000.000000,50,OPTIDX,NFO,5.000000
8,42788,NIFTY08DEC2217550CE,NIFTY,08DEC2022,1755000.000000,50,OPTIDX,NFO,5.000000
9,49522,NIFTY29DEC2210500PE,NIFTY,29DEC2022,1050000.000000,50,OPTIDX,NFO,5.000000
10,57471,NIFTY27OCT2214800CE,NIFTY,27OCT2022,1480000.000000,50,OPTIDX,NFO,5.000000
11,42757,NIFTY08DEC2217100CE,NIFTY,08DEC2022,1710000.000000,50,OPTIDX,NFO,5.000000
12,59258,NIFTY20OCT2215800CE,NIFTY,20OCT2022,1580000.000000,50,OPTIDX,NFO,5.000000
13,58646,NIFTY31DEC2621000CE,NIFTY,31DEC2026,2100000.000000,50,OPTIDX,NFO,5.000000
14,49970,NIFTY01DEC2217200PE,NIFTY,01DEC2022,1720000.000000,50,OPTIDX,NFO,5.000000
15,57472,NIFTY27OCT2214800PE,NIFTY,27OCT2022,1480000.000000,50,OPTIDX,NFO,5.000000
16,86341,NIFTY29DEC2216350PE,NIFTY,29DEC2022,1635000.000000,50,OPTIDX,NFO,5.000000
17,59439,NIFTY20OCT2220300CE,NIFTY,20OCT2022,2030000.000000,50,OPTIDX,NFO,5.000000
18,86449,NIFTY29DEC2218600PE,NIFTY,29DEC2022,1860000.000000,50,OPTIDX,NFO,5.000000
19,60912,NIFTY24NOV2214650CE,NIFTY,24NOV2022,1465000.000000,50,OPTIDX,NFO,5.000000
